"Index" "yahoo" "microsoft" "citigroup" "dow_chemical"
2016-10-17 41.790001 56.836042 48.301525 52.585021
2016-10-18 41.68 57.273088 48.689133 53.269617
2016-10-19 42.73 57.143959 49.176122 53.50774
2016-10-20 42.380001 56.865839 49.27551 53.398601
2016-10-21 42.169998 59.259667 49.265569 53.676407
2016-10-24 42.59 60.590676 49.27551 53.815314
2016-10-25 42.549999 60.580745 49.285447 53.686331
2016-10-26 42.080002 60.22316 49.702866 53.339069
2016-10-27 41.869999 59.696714 49.623359 54.132808
2016-10-28 41.779999 59.468257 49.255632 53.497816
2016-10-31 41.549999 59.517921 48.848151 53.388681
2016-11-01 41.330002 59.398727 48.639437 53.358913
2016-11-02 40.68 59.031211 48.241896 53.180322
2016-11-03 40.23 58.812686 48.052436 52.842984
2016-11-04 40.279999 58.316041 48.032493 52.714005
2016-11-07 41.049999 60.014566 49.677784 53.229934
2016-11-08 41.16 60.064234 49.767527 53.011655
2016-11-09 41.209999 59.766244 51.442732 53.448208
2016-11-10 40.16 58.30611 53.456966 53.726019
2016-11-11 40.419998 58.623963 52.679194 53.229934
2016-11-14 39.299999 57.73 54.523912 53.041419
2016-11-15 40.209999 58.869999 55.291714 52.753688
2016-11-16 40.98 59.650002 54.474055 52.763612
2016-11-17 41.450001 60.639999 55.291714 52.942203
2016-11-18 41.189999 60.349998 55.301684 52.81322
2016-11-21 41.110001 60.860001 55.381457 53.577192
2016-11-22 41.009998 61.119999 55.939856 53.90461
2016-11-23 40.959999 60.400002 56.528172 53.646643
2016-11-25 40.869999 60.529999 56.617915 53.755783
2016-11-28 41.450001 60.610001 55.311657 53.894686
2016-11-29 41.599998 61.09 55.361514 53.567272
2016-11-30 41.02 60.259998 56.229029 55.283726
2016-12-01 39.630001 59.200001 57.106518 55.670671
2016-12-02 40.07 59.25 55.860087 54.986071
2016-12-05 40.200001 60.220001 57.116488 55.621064
2016-12-06 39.970001 59.950001 57.754661 55.779811
2016-12-07 40.52 61.369999 58.89141 56.454487
2016-12-08 41.41 61.009998 59.978298 56.980336
2016-12-09 41.759998 61.970001 59.868612 57.258142
2016-12-12 41.299999 62.169998 59.380009 57.813759
2016-12-13 41.470001 62.98 59.619325 57.694699
